timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674297005141,359,/detail-product,200,OK,Distributed Load Test 1-6,text,true,,19163,179,3,3,https://api-staging-builder.engineer.ai/configurations,341,0,0
1674297005450,338,/dicovery-diskon,200,OK,Distributed Load Test 1-8,text,true,,19156,179,3,3,https://api-staging-builder.engineer.ai/configurations,329,0,0
1674297005501,309,/promo,200,OK,Distributed Load Test 1-6,text,true,,19156,179,3,3,https://api-staging-builder.engineer.ai/configurations,296,0,0
1674297005789,341,/dicovery-personalized-ads,200,OK,Distributed Load Test 1-8,text,true,,19163,179,3,3,https://api-staging-builder.engineer.ai/configurations,322,0,0
1674297005810,342,/review-product,200,OK,Distributed Load Test 1-6,text,true,,19163,179,3,3,https://api-staging-builder.engineer.ai/configurations,329,0,0
1674297006130,318,/official-store,200,OK,Distributed Load Test 1-8,text,true,,19169,179,4,4,https://api-staging-builder.engineer.ai/configurations,299,0,0
1674297006154,320,/discussion,200,OK,Distributed Load Test 1-6,text,true,,19156,179,3,3,https://api-staging-builder.engineer.ai/configurations,311,0,0
1674297005370,1118,/list-product,200,OK,Distributed Load Test 1-9,text,true,,19156,179,3,3,https://api-staging-builder.engineer.ai/configurations,854,0,532
1674297006475,341,/merchant/product,200,OK,Distributed Load Test 1-6,text,true,,19163,179,3,3,https://api-staging-builder.engineer.ai/configurations,327,0,0
1674297006489,339,/list-merchant,200,OK,Distributed Load Test 1-9,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,327,0,0
1674297006829,315,/detail-product,200,OK,Distributed Load Test 1-9,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,310,0,0
1674297006370,1088,/topup,200,OK,Distributed Load Test 1-10,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,829,0,525
1674297007145,343,/promo,200,OK,Distributed Load Test 1-9,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,328,0,0
1674297007459,351,/dicovery-diskon,200,OK,Distributed Load Test 1-10,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,349,0,0
1674297007489,326,/review-product,200,OK,Distributed Load Test 1-9,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,320,0,0
1674297007811,316,/dicovery-personalized-ads,200,OK,Distributed Load Test 1-10,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,304,0,0
1674297007815,324,/discussion,200,OK,Distributed Load Test 1-9,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,312,0,0
1674297008140,325,/merchant/product,200,OK,Distributed Load Test 1-9,text,true,,19163,179,3,3,https://api-staging-builder.engineer.ai/configurations,311,0,0
1674297008128,351,/official-store,200,OK,Distributed Load Test 1-10,text,true,,19163,179,3,3,https://api-staging-builder.engineer.ai/configurations,338,0,0
1674297008369,1090,/topup,200,OK,Distributed Load Test 1-12,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,830,0,523
1674297009461,328,/dicovery-diskon,200,OK,Distributed Load Test 1-12,text,true,,19156,179,1,1,https://api-staging-builder.engineer.ai/configurations,314,0,0
1674297009790,321,/dicovery-personalized-ads,200,OK,Distributed Load Test 1-12,text,true,,19163,179,1,1,https://api-staging-builder.engineer.ai/configurations,309,0,0
1674297010112,327,/official-store,200,OK,Distributed Load Test 1-12,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,313,0,0
1674297010440,320,/list-product,200,OK,Distributed Load Test 1-12,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,308,0,0
1674297010761,338,/list-merchant,200,OK,Distributed Load Test 1-12,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,323,0,0
1674297011101,320,/detail-product,200,OK,Distributed Load Test 1-12,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,300,0,0
1674297010371,1119,/topup,200,OK,Distributed Load Test 1-14,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,849,0,534
1674297011421,349,/promo,200,OK,Distributed Load Test 1-12,text,true,,19156,179,2,2,https://api-staging-builder.engineer.ai/configurations,334,0,0
1674297011491,340,/dicovery-diskon,200,OK,Distributed Load Test 1-14,text,true,,19163,179,2,2,https://api-staging-builder.engineer.ai/configurations,319,0,0
